RECO_TTH_HAD_PTH_0_60_Tag2 chi2 
1.26641 0
0.353 0.244972
0.051 0.484059
3.071 0.55667
3.373 0.809682
3.675 1.10093
3.977 1.42776
4.279 1.78771
4.581 2.17874
4.883 2.59868
5.185 3.04556
5.487 3.51807
5.789 4.01439
0.957 -0.0151026
0.655 0.0805169
6.091 4.53306
6.393 5.07274
6.695 5.63214
6.997 6.2101
7.299 6.80564
7.601 7.41765
7.903 8.0453
8.205 8.6877
8.507 9.34395
8.809 10.0133
9.111 10.6952
9.413 11.3886
9.715 12.0931
10.017 12.8081
10.319 13.5329
10.621 14.2671
10.923 15.0102
11.225 15.7617
11.527 16.5212
11.829 17.2881
1.259 -0.0409685
1.561 -0.0283708
12.131 18.0622
12.433 18.8431
12.735 19.6304
1.863 -0.0137987
2.165 0.0557115
2.467 0.176501
2.769 0.344594
