RECO_VH_MET_Tag0 chi2 
0.604293 0
0.053 0.238626
-0.049 0.367022
1.787 0.815111
1.889 0.949801
0.257 0.0596038
0.155 0.13679
1.991 1.0918
2.093 1.24075
2.195 1.3961
2.297 1.5526
2.399 1.72041
2.501 1.89924
3.215 3.25287
3.317 3.46389
0.461 -0.0297072
0.359 0.00486596
4.643 6.50637
4.745 6.76035
0.563 -0.0455219
0.665 -0.0440933
