RECO_TTH_LEP_PTH_0_60_Tag2 chi2 
0.1265 0.669839
-0.0245 0.812971
1.6365 -0.184184
1.4855 -0.14047
1.9385 -0.247646
1.7875 -0.219818
2.2405 -0.280893
2.0895 -0.267926
2.3915 -0.28684
2.5425 -0.285933
2.6935 -0.278443
2.8445 -0.264352
0.4285 0.418205
0.2775 0.538364
2.9955 -0.244181
3.1465 -0.218147
3.2975 -0.186117
3.4485 -0.148414
3.5995 -0.105202
3.7505 -0.0566373
3.9015 -0.00287993
4.0525 0.0559423
4.2035 0.119682
4.3545 0.188204
4.5055 0.26138
4.6565 0.339088
4.8075 0.421363
4.9585 0.507628
5.1095 0.598235
5.2605 0.692926
5.4115 0.791597
5.5625 0.894127
5.7135 1.00047
5.8645 1.11051
0.7305 0.209971
0.5795 0.3088
6.0155 1.22416
6.1665 1.34133
6.3175 1.46194
6.4685 1.58592
6.6195 1.71318
6.7705 1.84365
6.9215 1.97727
7.0725 2.11392
7.2235 2.25364
7.3745 2.39626
7.5255 2.54176
7.6765 2.69004
7.8275 2.84111
7.9785 2.99487
8.1295 3.15128
8.2805 3.31027
8.4315 3.4718
8.5825 3.63581
8.7335 3.80226
8.8845 3.9711
1.0325 0.0421195
0.8815 0.121202
9.0355 4.14229
9.1865 4.31574
9.3375 4.49146
9.4885 4.6694
9.6395 4.84948
9.7905 5.03166
9.9415 5.21601
10.0925 5.40236
10.2435 5.59072
10.3945 5.78106
10.5455 5.97335
10.6965 6.16751
10.8475 6.36356
10.9985 6.56145
11.1495 6.76111
11.3005 6.96258
11.4515 7.16579
11.6025 7.37071
11.7535 7.57732
11.9045 7.78558
1.3345 -0.0883863
1.1835 -0.027632
12.0555 7.99548
12.2065 8.20696
12.3575 8.42004
12.5085 8.63465
12.6595 8.85078
12.8105 9.0684
12.9615 9.28752
13.1125 9.50809
13.2635 9.73008
13.4145 9.95349
13.5655 10.1783
13.7165 10.4044
13.8675 10.6319
14.0185 10.8607
14.1695 11.0908
14.3205 11.3222
14.4715 11.5549
14.6225 11.7888
14.7735 12.0239
14.9245 12.2603
