RECO_VBFTOPO_JET3VETO_HIGHMJJ_Tag1 chi2 
1.91377 0
0.203 7.21545
0.001 9.27407
2.829 0.763428
3.031 1.09951
3.637 2.32554
3.839 2.7937
0.607 4.03738
0.405 5.46617
6.061 9.1771
6.263 9.83817
1.011 1.71707
0.809 2.76377
8.081 16.2111
8.283 16.9608
8.485 17.7183
8.687 18.4832
8.889 19.2552
1.415 0.42793
1.213 0.94638
