RECO_TTH_HAD_PTH_60_120_Tag1 chi2 
2.09213 0
0.353 0.119453
0.051 0.185532
3.071 -0.0069695
3.373 0.0202389
3.675 0.0536442
3.977 0.0927531
4.279 0.137138
4.581 0.186338
4.883 0.240086
5.185 0.297978
5.487 0.359689
5.789 0.424933
0.957 0.0186232
0.655 0.065863
6.091 0.493468
6.393 0.565058
6.695 0.639489
6.997 0.716594
7.299 0.796286
7.601 0.87838
7.903 0.962753
8.205 1.04932
8.507 1.13799
8.809 1.22862
9.111 1.32107
9.413 1.41541
9.715 1.51149
10.017 1.60923
10.319 1.70855
10.621 1.80937
10.923 1.91162
11.225 2.01522
11.527 2.12009
11.829 2.22612
1.561 -0.0331289
1.259 -0.0122605
12.131 2.32627
12.433 2.42999
12.735 2.53481
13.037 2.64065
13.339 2.7475
13.641 2.8552
13.943 2.96385
14.245 3.07335
14.547 3.18363
14.849 3.29462
2.165 -0.0467934
1.863 -0.0442206
2.467 -0.0410531
2.769 -0.0276068
