RECO_1J_PTH_0_60_Tag1 chi2 
0.1265 7.21771
-0.0245 9.85654
1.4855 1.14475
1.6365 2.04463
1.7875 3.17605
1.9385 4.61837
2.0895 6.36433
2.2405 8.40703
2.3915 10.7387
2.5425 13.3518
2.6935 16.2389
2.8445 19.3921
0.4285 3.1417
0.2775 4.97996
0.7305 0.65291
0.5795 1.70053
1.0325 -0.278105
0.8815 -0.00397638
1.1835 -0.173197
1.3345 0.304261
