RECO_TTH_HAD_PTH_0_60_Tag0 chi2 
-0.1 0
0.051 0.0105959
0.353 0.181959
3.071 3.48381
3.373 3.95212
3.675 4.43124
3.977 4.91979
4.279 5.41655
4.581 5.92063
4.883 6.4358
5.185 6.95196
5.487 7.47311
5.789 7.99868
0.655 0.415077
0.957 0.702597
6.091 8.52817
6.393 9.06113
6.695 9.59719
6.997 10.136
7.299 10.6772
7.601 11.2206
7.903 11.766
8.205 12.313
8.507 12.8614
8.809 13.4112
9.111 13.9622
9.413 14.5143
9.715 15.0672
10.017 15.6208
10.319 16.175
10.621 16.7297
10.923 17.2848
11.225 17.8401
11.527 18.3958
11.829 18.9516
1.259 1.02474
1.561 1.3797
12.131 19.5076
1.863 1.75645
2.165 2.16163
2.467 2.58647
2.769 3.02793
