RECO_TTH_LEP_PTH_60_120_Tag0 chi2 
1.6524 0
0.353 1.75597
0.051 3.26754
3.071 0.839854
3.373 1.18221
4.279 2.39787
4.581 2.85202
4.883 3.32551
5.185 3.81599
5.487 4.32142
5.789 4.84027
0.957 0.339233
0.655 0.860503
6.091 5.37087
6.393 5.91235
6.695 6.46351
6.997 7.02328
7.299 7.59098
7.601 8.16584
7.903 8.74722
8.205 9.33456
8.507 9.92734
8.809 10.5251
9.111 11.1275
9.413 11.734
9.715 12.3444
10.017 12.9583
10.319 13.5755
10.621 14.1958
10.923 14.8188
11.225 15.4443
11.527 16.0723
11.829 16.7023
1.561 -0.0416089
1.259 0.0632978
12.131 17.3344
12.433 17.9684
12.735 18.604
13.037 19.2412
13.339 19.8844
1.863 -0.0207929
2.165 0.0955151
2.467 0.286903
2.769 0.538705
