RECO_TTH_HAD_PTH_GT300_Tag0 chi2 
1.63656 0
0.1265 5.87419
-0.0245 8.34507
1.9385 0.0352997
2.0895 0.12895
2.2405 0.25579
2.3915 0.401593
2.5425 0.568095
2.6935 0.752559
2.8445 0.952682
0.4285 2.83361
0.2775 4.11438
2.9955 1.16651
3.1465 1.39238
3.2975 1.62887
3.4485 1.87474
3.5995 2.12893
3.7505 2.39051
3.9015 2.65868
4.0525 2.9271
4.2035 3.20639
4.3545 3.49037
4.5055 3.77856
4.6565 4.07618
4.8075 4.36586
4.9585 4.66424
5.1095 4.9654
5.2605 5.26895
5.4115 5.57467
5.5625 5.88788
5.7135 6.19173
5.8645 6.50275
0.7305 1.2518
0.5795 1.9178
6.0155 6.81526
6.1665 7.12881
6.3175 7.44357
6.4685 7.75929
6.6195 8.0759
6.7705 8.39318
6.9215 8.71118
7.0725 9.02969
7.2235 9.34867
7.3745 9.66797
7.5255 9.98766
7.6765 10.3131
7.8275 10.6333
7.9785 10.948
8.1295 11.2683
8.2805 11.5888
8.4315 11.9092
8.5825 12.2294
8.7335 12.5496
8.8845 12.8697
1.0325 0.43833
0.8815 0.775615
9.0355 13.1897
9.1865 13.5095
9.3375 13.8291
9.4885 14.1484
9.6395 14.4675
9.7905 14.7863
9.9415 15.1048
10.0925 15.423
10.2435 15.7408
10.3945 16.0583
10.5455 16.3754
10.6965 16.6922
10.8475 17.0085
10.9985 17.3245
11.1495 17.64
11.3005 17.955
11.4515 18.2697
11.6025 18.5839
11.7535 18.8976
11.9045 19.2109
1.3345 0.0591884
1.1835 0.214193
12.0555 19.5237
12.2065 19.8361
