RECO_GE2J_PTH_0_60_Tag0 chi2 
1.23023 0
0.353 0.492943
0.051 0.938084
3.071 2.02257
3.373 2.70959
3.675 3.37548
3.977 4.07402
4.279 4.84563
4.581 5.68554
4.883 6.58934
5.185 7.55313
5.487 8.57295
5.789 9.64524
0.957 0.00477168
0.655 0.182963
6.091 10.7664
6.393 11.9358
6.695 13.0597
6.997 14.3202
7.299 15.6226
7.601 16.9638
7.903 18.3416
8.205 19.7502
1.259 -0.0464604
1.561 0.0249588
1.863 0.213532
2.165 0.51341
2.467 0.91865
2.769 1.42365
