RECO_TTH_LEP_PTH_60_120_Tag1 chi2 
-0.0245 -0.254266
0.1265 -0.185096
1.4855 0.606346
1.6365 0.708927
1.7875 0.813811
1.9385 0.920747
2.0895 1.02972
2.2405 1.14057
2.3915 1.25319
2.5425 1.36744
2.6935 1.48325
2.8445 1.6006
0.2775 -0.111504
0.4285 -0.0337171
2.9955 1.71935
3.1465 1.83942
3.2975 1.96077
3.4485 2.08329
3.5995 2.20695
3.7505 2.33169
3.9015 2.45745
4.0525 2.58417
4.2035 2.71182
4.3545 2.84034
4.5055 2.96971
4.6565 3.09987
4.8075 3.2308
4.9585 3.36245
5.1095 3.4948
5.2605 3.62781
5.4115 3.76146
5.5625 3.89571
5.7135 4.03054
5.8645 4.16593
0.5795 0.0478988
0.7305 0.133227
6.0155 4.30184
6.1665 4.43827
6.3175 4.57523
6.4685 4.71257
6.6195 4.85042
6.7705 4.98873
6.9215 5.12737
7.0725 5.26645
7.2235 5.40592
7.3745 5.54575
7.5255 5.68594
7.6765 5.82646
7.8275 5.96731
7.9785 6.10847
8.1295 6.24994
8.2805 6.3917
8.4315 6.53373
8.5825 6.67603
8.7335 6.81859
8.8845 6.96145
0.8815 0.221941
1.0325 0.313813
9.0355 7.10445
9.1865 7.24773
9.3375 7.39124
9.4885 7.53495
9.6395 7.67887
9.7905 7.82299
9.9415 7.9673
10.0925 8.1118
10.2435 8.25647
10.3945 8.40131
10.5455 8.54632
10.6965 8.69148
10.8475 8.83684
10.9985 8.98226
11.1495 9.12787
11.3005 9.27361
11.4515 9.41948
11.6025 9.56547
11.7535 9.71159
11.9045 9.85783
1.1835 0.408599
1.3345 0.506182
12.0555 10.0042
12.2065 10.1506
12.3575 10.2972
12.5085 10.4438
12.6595 10.5905
12.8105 10.7374
12.9615 10.8843
13.1125 11.0313
13.2635 11.1785
13.4145 11.3257
13.5655 11.4729
13.7165 11.6202
13.8675 11.7676
14.0185 11.9151
14.1695 12.0626
14.3205 12.2102
14.4715 12.3578
14.6225 12.5055
14.7735 12.6533
14.9245 12.801
