RECO_GE2J_PTH_0_60_Tag1 chi2 
0.1265 2.47753
-0.0245 2.94345
1.6365 -0.178502
1.4855 -0.0741658
1.9385 -0.282738
1.7875 -0.247923
2.0895 -0.283341
2.2405 -0.249829
2.3915 -0.188459
2.5425 -0.118592
2.6935 -0.015753
2.8445 0.119727
0.4285 1.65601
0.2775 2.04839
2.9955 0.28724
3.1465 0.486605
3.2975 0.716989
3.4485 0.977914
3.5995 1.26929
3.7505 1.59059
3.9015 1.94087
4.0525 2.32013
4.2035 2.72773
4.3545 3.16318
4.5055 3.58216
4.6565 3.92609
4.8075 4.29238
4.9585 4.68068
5.1095 5.09063
5.2605 5.52199
5.4115 5.97439
5.5625 6.44757
5.7135 6.9411
5.8645 7.45469
0.7305 0.980926
0.5795 1.30022
6.0155 7.98817
6.1665 8.54103
6.3175 9.11315
6.4685 9.70417
6.6195 10.3138
6.7705 10.9417
6.9215 11.5876
7.0725 12.2512
7.2235 12.9322
7.3745 13.6303
7.5255 14.3453
7.6765 15.0767
7.8275 15.8245
7.9785 16.5884
8.1295 17.3672
8.2805 18.1623
8.4315 18.9726
8.5825 19.7979
1.0325 0.451218
0.8815 0.697944
1.3345 0.0653785
1.1835 0.240426
