RECO_TTH_LEP_PTH_60_120_Tag0 chi2 
0.1265 2.60415
-0.0245 3.54441
1.6365 -0.28273
1.4855 -0.251858
1.7875 -0.284999
1.9385 -0.262179
2.0895 -0.217233
2.2405 -0.152461
2.3915 -0.0701265
2.5425 0.0281054
2.6935 0.140718
2.8445 0.266421
0.4285 1.30993
0.2775 1.87621
2.9955 0.404013
3.1465 0.55254
3.2975 0.711126
3.4485 0.878937
3.5995 1.05533
3.7505 1.23966
3.9015 1.43139
4.0525 1.62999
4.2035 1.83503
4.3545 2.0461
4.5055 2.26282
4.6565 2.48486
4.8075 2.7119
4.9585 2.94365
5.1095 3.17986
5.2605 3.42028
5.4115 3.66469
5.5625 3.9129
5.7135 4.16468
5.8645 4.41989
0.7305 0.525294
0.5795 0.868499
6.0155 4.67834
6.1665 4.93989
6.3175 5.2044
6.4685 5.47173
6.6195 5.74175
6.7705 6.01435
6.9215 6.28942
7.0725 6.56685
7.2235 6.84656
7.3745 7.12843
7.5255 7.41239
7.6765 7.69846
7.8275 7.98625
7.9785 8.276
8.1295 8.56753
8.2805 8.86079
8.4315 9.1557
8.5825 9.45221
8.7335 9.75026
8.8845 10.0498
1.0325 0.0607033
0.8815 0.260852
9.0355 10.3508
9.1865 10.6531
9.3375 10.9568
9.4885 11.2618
9.6395 11.5681
9.7905 11.8756
9.9415 12.1842
10.0925 12.494
10.2435 12.8049
10.3945 13.1169
10.5455 13.4299
10.6965 13.7439
10.8475 14.0588
10.9985 14.3747
11.1495 14.6916
11.3005 15.0093
11.4515 15.3279
11.6025 15.6474
11.7535 15.9676
11.9045 16.2887
1.3345 -0.18809
1.1835 -0.0861246
12.0555 16.6105
12.2065 16.9331
12.3575 17.2564
12.5085 17.5804
12.6595 17.9051
12.8105 18.2305
12.9615 18.5565
13.1125 18.8832
13.2635 19.2105
13.4145 19.5384
13.5655 19.8669
