RECO_1J_PTH_120_200_Tag2 chi2 
0.1265 3.97361
-0.0245 5.11508
1.4855 -0.238457
1.6365 -0.484819
1.7875 -0.645064
1.9385 -0.677031
2.0895 -0.583033
2.2405 -0.365372
2.3915 -0.0263953
2.5425 0.431558
2.6935 1.00617
2.8445 1.69507
0.4285 2.10742
0.2775 2.97162
2.9955 2.49596
3.1465 3.40659
3.2975 4.42457
3.4485 5.54768
3.5995 6.77367
3.7505 8.10017
3.9015 9.52529
4.0525 11.0466
4.2035 12.6622
4.3545 14.3699
4.5055 16.1674
4.6565 18.0529
0.7305 0.785303
0.5795 1.37926
1.0325 -0.00750695
0.8815 0.323689
1.3345 -0.286528
1.1835 -0.210253
