RECO_GE2J_PTH_120_200_Tag2 chi2 
0.1265 -0.169084
-0.0245 -0.052899
1.4855 0.523863
1.6365 0.78773
1.7875 1.08769
1.9385 1.42341
2.0895 1.79452
2.2405 2.13723
2.3915 2.38612
2.5425 2.67201
2.6935 2.99457
2.8445 3.35339
0.4285 -0.28312
0.2775 -0.245729
2.9955 3.74806
3.1465 4.17823
3.2975 4.64348
3.4485 5.14347
3.5995 5.67779
3.7505 6.2461
3.9015 6.84797
4.0525 7.48305
4.2035 8.15097
4.3545 8.85137
4.5055 9.58387
4.6565 10.3481
4.8075 11.1437
4.9585 11.9703
5.1095 12.8276
5.2605 13.7152
5.4115 14.6327
5.5625 15.5798
5.7135 16.5562
5.8645 17.5614
0.5795 -0.281706
0.7305 -0.241786
6.0155 18.5953
6.1665 19.6573
0.8815 -0.163625
1.0325 -0.0476373
1.1835 0.105822
1.3345 0.296445
