RECO_1J_PTH_120_200_Tag1 chi2 
0.1265 6.58171
-0.0245 7.91405
1.6365 -0.191015
1.4855 -0.00469476
1.7875 -0.279068
1.9385 -0.271526
2.0895 -0.171444
2.2405 0.018712
2.3915 0.296228
2.5425 0.658483
2.6935 1.10298
2.8445 1.62725
0.4285 4.29837
0.2775 5.37747
2.9955 2.22888
3.1465 2.90555
3.2975 3.65496
3.4485 4.47496
3.5995 5.36337
3.7505 6.31814
3.9015 7.33728
4.0525 8.41874
4.2035 9.5608
4.3545 10.7615
4.5055 12.019
4.6565 13.3318
4.8075 14.6982
4.9585 16.1166
5.1095 17.5854
5.2605 19.1031
0.7305 2.50355
0.5795 3.3414
1.0325 1.17307
0.8815 1.78178
1.3345 0.282796
1.1835 0.674408
