RECO_GE2J_PTH_0_60_Tag2 chi2 
-0.1 0
0.051 0.0434334
0.353 0.260844
3.071 4.31267
3.373 4.98066
3.675 5.68265
3.977 6.43003
4.279 7.21515
4.581 8.03749
4.883 8.89578
5.185 9.72741
5.487 10.5732
5.789 11.4488
0.655 0.526221
0.957 0.839222
6.091 12.3533
6.393 13.2859
6.695 14.246
6.997 15.2326
7.299 16.2451
7.601 17.2827
7.903 18.3447
8.205 19.4304
1.259 1.19931
1.561 1.60571
1.863 2.0578
2.165 2.55489
2.467 3.10132
2.769 3.68013
