RECO_WH_LEP_PTV_0_75_Tag0 chi2 
1.76422 0
0.0515 2.4092
-0.0495 2.80321
1.0615 0.264393
0.9605 0.370404
1.2635 0.103936
1.1625 0.175972
1.4655 0.00446404
1.3645 0.0470932
0.2535 1.74417
0.1525 2.05753
2.0715 0.00114249
2.1725 0.0364223
2.2735 0.0804597
2.3745 0.132725
2.4755 0.192959
2.5765 0.260679
2.6775 0.335521
2.7785 0.417159
2.8795 0.505051
2.9805 0.599309
3.0815 0.699464
3.1825 0.805257
3.2835 0.91646
3.3845 1.03297
3.4855 1.15995
3.5865 1.28024
3.6875 1.4109
3.7885 1.54593
3.8895 1.68515
3.9905 1.82852
4.0915 1.97592
4.1925 2.12687
4.2935 2.28145
4.3945 2.43962
4.4955 2.60113
4.5965 2.76596
4.6975 2.93391
4.7985 3.10501
4.8995 3.27902
5.0005 3.45589
5.1015 3.63554
5.2025 3.8178
5.3035 4.00272
5.4045 4.19019
5.5055 4.38018
5.6065 4.57245
5.7075 4.76694
5.8085 4.96376
5.9095 5.16276
0.6575 0.80842
0.5565 1.00031
6.0105 5.36387
6.1115 5.56704
6.2125 5.77216
6.3135 5.97927
6.4145 6.18828
6.5155 6.39913
6.6165 6.61177
6.7175 6.82621
6.8185 7.0423
6.9195 7.26001
7.0205 7.47939
7.1215 7.70034
7.2225 7.92283
7.3235 8.14682
7.4245 8.37228
7.5255 8.59917
7.6265 8.82745
7.7275 9.0571
7.8285 9.28808
7.9295 9.52036
0.8595 0.495211
0.7585 0.640867
8.0305 9.75392
8.1315 9.98872
8.2325 10.2247
8.3335 10.4619
8.4345 10.7003
8.5355 10.9398
8.6365 11.1804
8.7375 11.4221
8.8385 11.6649
8.9395 11.9087
9.0405 12.1535
9.1415 12.3994
9.2425 12.6462
9.3435 12.8939
9.4445 13.1426
9.5455 13.3923
9.6465 13.6428
9.7475 13.8942
9.8485 14.1465
9.9495 14.3996
