RECO_TTH_HAD_PTH_200_300_Tag0 chi2 
0.1265 4.61228
-0.0245 5.98967
1.6365 -0.170931
1.4855 -0.0527061
1.9385 -0.281863
1.7875 -0.245486
2.0895 -0.284595
2.2405 -0.25744
2.3915 -0.203574
2.5425 -0.125664
2.6935 -0.0260694
2.8445 0.0932856
0.4285 2.64512
0.2775 3.517
2.9955 0.230651
3.1465 0.384516
3.2975 0.553552
3.4485 0.736586
3.5995 0.932552
3.7505 1.14057
3.9015 1.35977
4.0525 1.58941
4.2035 1.82882
4.3545 2.07736
4.5055 2.3345
4.6565 2.5997
4.8075 2.87252
4.9585 3.15253
5.1095 3.4393
5.2605 3.73251
5.4115 4.0318
5.5625 4.33688
5.7135 4.64745
5.8645 4.96321
0.7305 1.39422
0.5795 1.94947
6.0155 5.28399
6.1665 5.6095
6.3175 5.93954
6.4685 6.2739
6.6195 6.6124
6.7705 6.95485
6.9215 7.30109
7.0725 7.65096
7.2235 8.00432
7.3745 8.36101
7.5255 8.72091
7.6765 9.0839
7.8275 9.44986
7.9785 9.81867
8.1295 10.1902
8.2805 10.5644
8.4315 10.9412
8.5825 11.3204
8.7335 11.702
8.8845 12.0859
1.0325 0.603008
0.8815 0.952214
9.0355 12.472
9.1865 12.8602
9.3375 13.2505
9.4885 13.6428
9.6395 14.0371
9.7905 14.4332
9.9415 14.8311
10.0925 15.2307
10.2435 15.6321
10.3945 16.0351
10.5455 16.4397
10.6965 16.8458
10.8475 17.2535
10.9985 17.6626
11.1495 18.0731
11.3005 18.4849
11.4515 18.8981
11.6025 19.3126
11.7535 19.7284
1.3345 0.115945
1.1835 0.331047
