RECO_VBFTOPO_JET3_HIGHMJJ_Tag0 chi2 
0.52629 0
0.203 0.417241
0.001 1.23139
2.021 5.32166
2.223 6.73551
2.425 8.25744
2.627 9.87674
2.829 11.5837
3.031 13.3652
3.233 15.2231
3.435 17.1458
3.637 19.1273
0.607 -0.0208929
0.405 0.0156109
0.809 0.0805866
1.011 0.439302
1.213 1.04964
1.415 1.87204
1.617 2.86876
1.819 4.0293
