RECO_TTH_HAD_PTH_200_300_Tag2 chi2 
0.341594 0
0.353 -0.0409362
0.051 -0.00904992
3.071 1.95022
3.373 2.32132
3.675 2.70269
3.977 3.09808
4.279 3.50047
4.581 3.91963
4.883 4.35435
5.185 4.79303
5.487 5.24023
5.789 5.69517
0.655 -0.00829204
0.957 0.0946382
6.091 6.15716
6.393 6.62532
6.695 7.08731
6.997 7.56046
7.299 8.04399
7.601 8.52087
7.903 9.00728
8.205 9.503
8.507 9.99072
8.809 10.4928
9.111 10.9919
9.413 11.4937
9.715 11.992
10.017 12.4982
10.319 13.0064
10.621 13.5164
10.923 14.0279
11.225 14.541
11.527 15.0555
11.829 15.5712
1.259 0.251709
1.561 0.454704
12.131 16.0881
12.433 16.6116
12.735 17.1305
13.037 17.6502
13.339 18.1706
13.641 18.6918
13.943 19.2136
14.245 19.7359
1.863 0.69673
2.165 0.977213
2.467 1.28056
2.769 1.60771
