RECO_TTH_HAD_PTH_60_120_Tag2 chi2 
0.1265 1.66095
-0.0245 2.09723
1.6365 -0.284338
1.4855 -0.255534
1.7875 -0.282694
1.9385 -0.252095
2.0895 -0.193747
2.2405 -0.108801
2.3915 0.00167242
2.5425 0.136509
2.6935 0.294652
2.8445 0.475101
0.4285 0.93961
0.2775 1.27606
2.9955 0.676916
3.1465 0.899201
3.2975 1.14112
3.4485 1.40187
3.5995 1.68072
3.7505 1.97695
3.9015 2.28988
4.0525 2.61885
4.2035 2.96335
4.3545 3.32269
4.5055 3.69639
4.6565 4.08392
4.8075 4.4848
4.9585 4.89851
5.1095 5.32464
5.2605 5.76277
5.4115 6.21247
5.5625 6.67337
5.7135 7.14508
5.8645 7.62725
0.7305 0.401927
0.5795 0.649053
6.0155 8.11955
6.1665 8.62165
6.3175 9.13323
6.4685 9.65399
6.6195 10.1837
6.7705 10.722
6.9215 11.2686
7.0725 11.8234
7.2235 12.3861
7.3745 12.9564
7.5255 13.5341
7.6765 14.1189
7.8275 14.7108
7.9785 15.3095
8.1295 15.9147
8.2805 16.5264
8.4315 17.1443
8.5825 17.7683
8.7335 18.3982
8.8845 19.0337
1.0325 0.0292377
0.8815 0.196027
9.0355 19.6749
1.3345 -0.194772
1.1835 -0.100404
