RECO_VBFTOPO_JET3_HIGHMJJ_Tag1 chi2 
0.920299 0
0.203 0.679892
0.001 1.15884
2.021 1.44484
2.223 2.00468
2.425 2.63863
2.627 3.34049
2.829 4.10619
3.031 4.93162
3.233 5.81355
3.435 6.74916
3.637 7.73576
3.839 8.7708
0.607 0.0914151
0.405 0.323974
4.041 9.85174
4.243 10.9758
4.445 12.1406
4.647 13.3436
4.849 14.5826
5.051 15.8552
5.253 17.1593
5.455 18.4935
5.657 19.8558
1.011 -0.0360963
0.809 -0.0296612
1.213 0.0663541
1.415 0.270432
1.617 0.571996
1.819 0.965188
