RECO_TTH_HAD_PTH_60_120_Tag1 chi2 
0.1265 0.220599
-0.0245 0.271444
1.6365 -0.140907
1.4855 -0.115754
1.9385 -0.184673
1.7875 -0.163862
2.2405 -0.220065
2.0895 -0.203389
2.5425 -0.247574
2.3915 -0.234782
2.8445 -0.267588
2.6935 -0.258493
0.4285 0.127387
0.2775 0.172659
3.1465 -0.280486
2.9955 -0.274893
3.4485 -0.286639
3.2975 -0.284399
3.5995 -0.287284
3.7505 -0.286364
3.9015 -0.28392
4.0525 -0.279991
4.2035 -0.274612
4.3545 -0.267816
4.5055 -0.259639
4.6565 -0.250112
4.8075 -0.23927
4.9585 -0.227174
5.1095 -0.213787
5.2605 -0.199172
5.4115 -0.183358
5.5625 -0.166372
5.7135 -0.14824
5.8645 -0.129009
0.7305 0.0452695
0.5795 0.0849936
6.0155 -0.10866
6.1665 -0.0872385
6.3175 -0.0647686
6.4685 -0.0412629
6.6195 -0.0167729
6.7705 0.00870928
6.9215 0.0351644
7.0725 0.0625407
7.2235 0.0908507
7.3745 0.120026
7.5255 0.150164
7.6765 0.181131
7.8275 0.212948
7.9785 0.2456
8.1295 0.279067
8.2805 0.313303
8.4315 0.348357
8.5825 0.384184
8.7335 0.420727
8.8845 0.458088
1.0325 -0.0262895
0.8815 0.00814268
9.0355 0.496137
9.1865 0.534902
9.3375 0.572217
9.4885 0.608978
9.6395 0.646338
9.7905 0.684511
9.9415 0.723328
10.0925 0.762852
10.2435 0.803071
10.3945 0.84381
10.5455 0.885364
10.6965 0.927591
10.8475 0.970462
10.9985 1.01397
11.1495 1.0581
11.3005 1.10283
11.4515 1.14815
11.6025 1.1941
11.7535 1.24061
11.9045 1.28769
1.3345 -0.0883468
1.1835 -0.0584288
12.0555 1.33532
12.2065 1.38351
12.3575 1.43223
12.5085 1.48053
12.6595 1.52931
12.8105 1.57849
12.9615 1.62819
13.1125 1.67841
13.2635 1.72913
13.4145 1.78035
13.5655 1.83206
13.7165 1.88426
13.8675 1.93693
14.0185 1.99006
14.1695 2.04365
14.3205 2.0977
14.4715 2.15219
14.6225 2.20712
14.7735 2.26247
14.9245 2.31826
