RECO_TTH_HAD_PTH_0_60_Tag1 chi2 
2.84843 0
0.353 0.54515
0.051 0.737646
3.071 -0.043888
3.373 -0.0302402
3.675 -0.00660726
3.977 0.0259069
4.279 0.0666811
4.581 0.114667
4.883 0.169637
5.185 0.231007
5.487 0.297849
5.789 0.370036
0.957 0.257485
0.655 0.383106
6.091 0.446987
6.393 0.528541
6.695 0.614265
6.997 0.70386
7.299 0.79705
7.601 0.893592
7.903 0.99327
8.205 1.09587
8.507 1.20105
8.809 1.30893
9.111 1.4192
9.413 1.53172
9.715 1.64633
10.017 1.76294
10.319 1.88137
10.621 2.00165
10.923 2.12349
11.225 2.24693
11.527 2.37185
11.829 2.49817
1.561 0.0817053
1.259 0.15808
12.131 2.6258
12.433 2.75469
12.735 2.88476
13.037 3.01595
13.339 3.14821
13.641 3.28143
13.943 3.41566
14.245 3.55081
14.547 3.68684
14.849 3.82369
2.165 -0.0134886
1.863 0.0253986
2.769 -0.0464378
2.467 -0.0369057
