RECO_TTH_LEP_PTH_120_200_Tag1 chi2 
4.50924 0
0.353 4.65706
0.051 5.81374
3.373 0.154211
3.071 0.289269
3.977 -0.00620041
3.675 0.0572236
4.581 -0.0403055
4.279 -0.0394722
4.883 -0.0290388
5.185 0.00995463
5.487 0.0688396
5.789 0.145725
0.957 2.92862
0.655 3.7054
6.091 0.239296
6.393 0.347541
6.695 0.46988
6.997 0.605112
7.299 0.752225
7.601 0.910356
7.903 1.07873
8.205 1.25657
8.507 1.44337
8.809 1.63848
9.111 1.84138
9.413 2.05158
9.715 2.27334
10.017 2.49687
10.319 2.72645
10.621 2.96175
10.923 3.20244
11.225 3.44822
11.527 3.69881
11.829 3.95396
1.561 1.76439
1.259 2.28984
12.131 4.21343
12.433 4.477
12.735 4.74445
13.037 5.01558
13.339 5.29023
13.641 5.5682
13.943 5.84935
14.245 6.13352
14.547 6.42057
14.849 6.71036
2.165 0.980705
1.863 1.33305
2.769 0.467508
2.467 0.695378
