RECO_ZH_LEP_Tag1 chi2 
0.0515 2.15955
-0.0495 2.31546
1.0615 0.943568
0.9605 1.04021
1.2635 0.764183
1.1625 0.851553
1.4655 0.602575
1.3645 0.681286
1.6675 0.458045
1.5665 0.52822
1.8695 0.328953
1.7685 0.391731
0.2535 1.86831
0.1525 2.01058
2.0715 0.2147
1.9705 0.270054
2.2735 0.114234
2.1725 0.162795
2.4755 0.0267132
2.3745 0.0689003
2.6775 -0.0485964
2.5765 -0.0124239
2.8795 -0.112419
2.7785 -0.0819001
3.0815 -0.165388
2.9805 -0.14022
3.2835 -0.208094
3.1825 -0.187985
3.4855 -0.241101
3.3845 -0.225778
3.6875 -0.264909
3.5865 -0.254124
3.8895 -0.280028
3.7885 -0.273515
0.4555 1.60287
0.3545 1.73249
4.0915 -0.286794
3.9905 -0.284404
4.1925 -0.287213
4.2935 -0.285531
4.3945 -0.282324
4.4955 -0.277112
4.5965 -0.270114
4.6975 -0.261372
4.7985 -0.250948
4.8995 -0.238808
5.0005 -0.225065
5.1015 -0.209729
5.2025 -0.192838
5.3035 -0.174424
5.4045 -0.154337
5.5055 -0.132977
5.6065 -0.110374
5.7075 -0.0861967
5.8085 -0.0606467
5.9095 -0.0337538
0.6575 1.36132
0.5565 1.47917
6.0105 -0.00554471
6.1115 0.023926
6.2125 0.0546685
6.3135 0.0866591
6.4145 0.119845
6.5155 0.154203
6.6165 0.189743
6.7175 0.226417
6.8185 0.264229
6.9195 0.303101
7.0205 0.343068
7.1215 0.384047
7.2225 0.426151
7.3235 0.469215
7.4245 0.513294
7.5255 0.558368
7.6265 0.604394
7.7275 0.65136
7.8285 0.699269
7.9295 0.748089
0.8595 1.14202
0.7585 1.24899
8.0305 0.797811
8.1315 0.848431
8.2325 0.899906
8.3335 0.952238
8.4345 1.00541
8.5355 1.05941
8.6365 1.11424
8.7375 1.16983
8.8385 1.22623
8.9395 1.2834
9.0405 1.34134
9.1415 1.40005
9.2425 1.45944
9.3435 1.51959
9.4445 1.58046
9.5455 1.64203
9.6465 1.7043
9.7475 1.76725
9.8485 1.83086
9.9495 1.89515
