RECO_TTH_LEP_PTH_60_120_Tag2 chi2 
1.37354 0
0.1265 1.22066
-0.0245 1.6131
1.7875 0.048255
1.9385 0.125429
2.0895 0.222442
2.2405 0.337798
2.3915 0.469992
2.5425 0.617752
2.6935 0.780143
2.8445 0.956051
0.4285 0.623643
0.2775 0.892106
2.9955 1.14458
3.1465 1.34489
3.2975 1.55617
3.4485 1.77785
3.5995 2.00924
3.7505 2.24976
3.9015 2.49887
4.0525 2.75611
4.2035 3.02076
4.3545 3.29308
4.5055 3.57183
4.6565 3.85742
4.8075 4.14902
4.9585 4.44647
5.1095 4.74945
5.2605 5.05772
5.4115 5.37102
5.5625 5.68892
5.7135 6.01157
5.8645 6.33857
0.7305 0.24084
0.5795 0.408542
6.0155 6.66973
6.1665 7.00486
6.3175 7.34379
6.4685 7.68635
6.6195 8.0324
6.7705 8.38177
6.9215 8.73434
7.0725 9.08997
7.2235 9.44854
7.3745 9.80993
7.5255 10.174
7.6765 10.5407
7.8275 10.9098
7.9785 11.2814
8.1295 11.6553
8.2805 12.0314
8.4315 12.4096
8.5825 12.7899
8.7335 13.1721
8.8845 13.5562
1.0325 0.0285027
0.8815 0.115571
9.0355 13.9422
9.1865 14.3299
9.3375 14.7193
9.4885 15.1103
9.6395 15.503
9.7905 15.8971
9.9415 16.2973
10.0925 16.6897
10.2435 17.0881
10.3945 17.4878
10.5455 17.8888
10.6965 18.2956
10.8475 18.699
10.9985 19.1035
11.1495 19.5091
11.3005 19.9158
