RECO_TTH_LEP_PTH_GT300_Tag0 chi2 
0.327665 0
0.353 -0.0467345
0.051 0.0829789
3.071 4.67118
3.373 5.43274
3.675 6.21334
3.977 7.00971
4.279 7.81951
4.581 8.64081
4.883 9.47186
5.185 10.3112
5.487 11.1576
5.789 12.0101
0.655 0.0792171
0.957 0.381969
6.091 12.8677
6.393 13.7297
6.695 14.5955
6.997 15.4642
7.299 16.3355
7.601 17.2089
7.903 18.0841
8.205 18.9606
8.507 19.838
1.863 1.90688
2.165 2.54286
