RECO_TTH_HAD_PTH_120_200_Tag3 chi2 
0.1265 1.60309
-0.0245 1.80456
1.6365 0.202333
1.4855 0.296869
1.9385 0.0404184
1.7875 0.116919
2.2405 -0.087058
2.0895 -0.0275144
2.5425 -0.181836
2.3915 -0.138417
2.8445 -0.245638
2.6935 -0.217518
0.4285 1.2363
0.2775 1.41381
3.1465 -0.279851
2.9955 -0.266398
3.2975 -0.286564
3.4485 -0.286321
3.5995 -0.279405
3.7505 -0.266036
3.9015 -0.246302
4.0525 -0.220379
4.2035 -0.18841
4.3545 -0.150523
4.5055 -0.106897
4.6565 -0.0576202
4.8075 -0.00285145
4.9585 0.0573372
5.1095 0.122755
5.2605 0.193339
5.4115 0.26896
5.5625 0.349508
5.7135 0.434877
5.8645 0.524939
0.7305 0.915369
0.5795 1.07027
6.0155 0.619648
6.1665 0.718879
6.3175 0.822502
6.4685 0.930537
6.6195 1.04278
6.7705 1.15919
6.9215 1.27968
7.0725 1.40417
7.2235 1.53257
7.3745 1.66482
7.5255 1.80085
7.6765 1.94055
7.8275 2.08386
7.9785 2.23075
8.1295 2.36183
8.2805 2.49796
8.4315 2.63777
8.5825 2.78102
8.7335 2.92791
8.8845 3.07824
1.0325 0.637659
0.8815 0.771268
9.0355 3.23194
9.1865 3.38896
9.3375 3.54923
9.4885 3.71268
9.6395 3.87928
9.7905 4.04894
9.9415 4.22163
10.0925 4.39744
10.2435 4.57602
10.3945 4.75746
10.5455 4.94172
10.6965 5.12874
10.8475 5.31849
10.9985 5.51091
11.1495 5.70595
11.3005 5.90358
11.4515 6.10375
11.6025 6.30642
11.7535 6.51154
11.9045 6.71908
1.3345 0.400734
1.1835 0.514244
12.0555 6.929
12.2065 7.14125
12.3575 7.35581
12.5085 7.57263
12.6595 7.79168
12.8105 8.01291
12.9615 8.23629
13.1125 8.46181
13.2635 8.68941
13.4145 8.9191
13.5655 9.1508
13.7165 9.3845
13.8675 9.62016
14.0185 9.85775
14.1695 10.0973
14.3205 10.3386
14.4715 10.5819
14.6225 10.8269
14.7735 11.0738
14.9245 11.3224
