RECO_GE2J_PTH_0_60_Tag1 chi2 
1.57765 0
0.353 1.8648
0.051 2.94126
3.071 2.24241
3.373 3.26033
3.675 4.44651
3.977 5.42773
4.279 6.55982
4.581 7.81561
4.883 9.18846
5.185 10.6719
5.487 12.2599
5.789 13.9467
0.957 0.436829
0.655 1.03066
6.091 15.7267
6.393 17.5943
6.695 19.5444
1.561 -0.0465373
1.259 0.079488
1.863 0.0514182
2.165 0.303467
2.467 0.75352
2.769 1.40332
