RECO_VBFTOPO_JET3VETO_LOWMJJ_Tag0 chi2 
0.119275 0
0.203 -0.0218374
0.001 -0.000874883
2.021 6.23823
2.223 7.27355
2.425 8.33676
2.627 9.42731
2.829 10.5325
3.031 11.6533
3.233 12.7872
3.435 13.9318
3.637 15.0852
3.839 16.2462
0.405 0.172156
0.607 0.566723
4.041 17.4086
4.243 18.5807
4.445 19.7568
0.809 1.10962
1.011 1.76766
1.213 2.52855
1.415 3.37088
1.617 4.27778
1.819 5.23701
