RECO_TTH_HAD_PTH_120_200_Tag1 chi2 
-0.0245 -0.244081
0.1265 -0.144639
1.4855 1.31388
1.6365 1.52319
1.7875 1.73981
1.9385 1.96334
2.0895 2.19341
2.2405 2.42966
2.3915 2.67177
2.5425 2.91956
2.6935 3.17259
2.8445 3.43074
0.2775 -0.0299305
0.4285 0.0991019
2.9955 3.69374
3.1465 3.9614
3.2975 4.23352
3.4485 4.50987
3.5995 4.79034
3.7505 5.07473
3.9015 5.36292
4.0525 5.65474
4.2035 5.95007
4.3545 6.24878
4.5055 6.55075
4.6565 6.85587
4.8075 7.16403
4.9585 7.47512
5.1095 7.78906
5.2605 8.10574
5.4115 8.42507
5.5625 8.74699
5.7135 9.07141
5.8645 9.39826
0.5795 0.24107
0.7305 0.394866
6.0155 9.72746
6.1665 10.0589
6.3175 10.3926
6.4685 10.7285
6.6195 11.0664
6.7705 11.4064
6.9215 11.7483
7.0725 12.0921
7.2235 12.4379
7.3745 12.7854
7.5255 13.1347
7.6765 13.4858
7.8275 13.8385
7.9785 14.1929
8.1295 14.5488
8.2805 14.9063
8.4315 15.2654
8.5825 15.6259
8.7335 15.9879
8.8845 16.3512
0.8815 0.559687
1.0325 0.734631
9.0355 16.7159
9.1865 17.082
9.3375 17.4494
9.4885 17.8181
9.6395 18.188
9.7905 18.5591
9.9415 18.9314
10.0925 19.305
10.2435 19.6796
1.1835 0.919072
1.3345 1.11236
