RECO_TTH_LEP_PTH_0_60_Tag2 chi2 
2.24116 0
0.353 0.785571
0.051 1.10938
3.071 0.0772731
3.373 0.178692
3.675 0.306542
3.977 0.458956
4.279 0.634159
4.581 0.830588
4.883 1.04674
5.185 1.28156
5.487 1.53367
5.789 1.80187
0.957 0.315157
0.655 0.522534
6.091 2.08525
6.393 2.38281
6.695 2.69366
6.997 3.01699
7.299 3.35662
7.601 3.69803
7.903 4.05922
8.205 4.42548
8.507 4.80094
8.809 5.1851
9.111 5.57747
9.413 5.9776
9.715 6.38509
10.017 6.79953
10.319 7.22057
10.621 7.64786
10.923 8.08109
11.225 8.51994
11.527 8.96417
11.829 9.4135
1.561 0.0487812
1.259 0.1587
12.131 9.86746
12.433 10.3262
12.735 10.7893
13.037 11.2565
13.339 11.7277
13.641 12.2026
13.943 12.681
14.245 13.1629
14.547 13.6479
14.849 14.1359
2.165 -0.0398124
1.863 -0.0180563
2.467 -0.0373149
2.769 0.00454145
