RECO_VH_MET_Tag2 chi2 
-0.0745 -0.280621
-0.0235 -0.265679
0.4355 -0.0283341
0.4865 0.00901935
0.5375 0.0484662
0.5885 0.0899847
0.6395 0.133566
0.6905 0.179195
0.7415 0.226839
0.7925 0.276476
0.8435 0.328087
0.8945 0.381646
0.0275 -0.248366
0.0785 -0.228724
0.9455 0.43714
0.9965 0.494567
1.0475 0.553838
1.0985 0.615003
1.1495 0.67802
1.2005 0.742869
1.2515 0.809532
1.3025 0.848844
1.3535 0.887947
1.4045 0.929119
1.4555 0.97234
1.5065 1.01758
1.5575 1.06486
1.6085 1.11409
1.6595 1.16525
1.7105 1.21838
1.7615 1.27342
1.8125 1.33036
1.8635 1.38917
1.9145 1.44984
0.1295 -0.206795
0.1805 -0.182597
1.9655 1.51235
2.0165 1.5767
2.0675 1.6428
2.1185 1.71077
2.1695 1.78036
2.2205 1.85176
2.2715 1.92488
2.3225 1.99971
2.3735 2.07622
2.4245 2.15443
2.4755 2.23424
2.5265 2.31574
2.5775 2.3988
2.6285 2.4835
2.6795 2.56978
2.7305 2.65763
2.7815 2.74703
2.8325 2.83797
2.8835 2.93044
2.9345 3.02441
0.2315 -0.156132
0.2825 -0.127463
2.9855 3.11987
3.0365 3.21681
3.0875 3.31522
3.1385 3.41507
3.1895 3.51636
3.2405 3.61906
3.2915 3.72318
3.3425 3.82868
3.3935 3.93556
3.4445 4.04381
3.4955 4.15341
3.5465 4.26435
3.5975 4.37662
3.6485 4.49019
3.6995 4.60507
3.7505 4.72124
3.8015 4.83869
3.8525 4.9574
3.9035 5.07738
3.9545 5.19858
0.3335 -0.0966055
0.3845 -0.0635432
4.0055 5.32099
4.0565 5.44463
4.1075 5.56949
4.1585 5.69554
4.2095 5.82277
4.2605 5.95117
4.3115 6.08074
4.3625 6.21146
4.4135 6.34332
4.4645 6.47631
4.5155 6.61042
4.5665 6.74564
4.6175 6.88197
4.6685 7.01938
4.7195 7.15787
4.7705 7.29744
4.8215 7.43806
4.8725 7.57977
4.9235 7.72246
4.9745 7.86622
