RECO_WH_LEP_PTV_0_75_Tag0 chi2 
1.76422 0
0.203 1.89629
0.001 2.60081
2.021 -0.0130608
2.223 0.0573827
2.425 0.161882
2.627 0.297226
2.829 0.460221
3.031 0.648666
3.233 0.860195
3.435 1.09303
3.637 1.34503
3.839 1.61504
0.607 0.901249
0.405 1.33826
4.041 1.90181
4.243 2.20368
4.445 2.51994
4.647 2.84953
4.849 3.19165
5.051 3.54537
5.253 3.90994
5.455 4.28492
5.657 4.66945
5.859 5.06299
6.061 5.4652
6.263 5.87547
6.465 6.29348
6.667 6.71875
6.869 7.15093
7.071 7.58967
7.273 8.03464
7.475 8.48555
7.677 8.94211
7.879 9.40406
1.011 0.315113
0.809 0.565289
8.081 9.87116
8.283 10.3432
8.485 10.8199
8.687 11.3011
8.889 11.7867
9.091 12.2763
9.293 12.7699
9.495 13.2673
9.697 13.7684
9.899 14.273
1.415 0.0240619
1.213 0.137963
1.819 -0.0393643
1.617 -0.0347874
