RECO_TTH_LEP_PTH_0_60_Tag1 chi2 
0.1265 -0.218561
-0.0245 -0.151089
1.4855 -0.0311897
1.6365 0.0436099
1.7875 0.125221
1.9385 0.213052
2.0895 0.306527
2.2405 0.405242
2.3915 0.508737
2.5425 0.616734
2.6935 0.728894
2.8445 0.84493
0.4285 -0.283613
0.2775 -0.262205
2.9955 0.964595
3.1465 1.08766
3.2975 1.21394
3.4485 1.34329
3.5995 1.47544
3.7505 1.61029
3.9015 1.7477
4.0525 1.88755
4.2035 2.02972
4.3545 2.1741
4.5055 2.3206
4.6565 2.4691
4.8075 2.61942
4.9585 2.77167
5.1095 2.92577
5.2605 3.08154
5.4115 3.23895
5.5625 3.39792
5.7135 3.55842
5.8645 3.72038
0.5795 -0.286278
0.7305 -0.273022
6.0155 3.88376
6.1665 4.04849
6.3175 4.21454
6.4685 4.38186
6.6195 4.55042
6.7705 4.72016
6.9215 4.89106
7.0725 5.06307
7.2235 5.23616
7.3745 5.41031
7.5255 5.58548
7.6765 5.76163
7.8275 5.93875
7.9785 6.1168
8.1295 6.29575
8.2805 6.47559
8.4315 6.6563
8.5825 6.83783
8.7335 7.02019
8.8845 7.20333
0.8815 -0.245967
1.0325 -0.206804
9.0355 7.38725
9.1865 7.57192
9.3375 7.75732
9.4885 7.94344
9.6395 8.13026
9.7905 8.31773
9.9415 8.5059
10.0925 8.69473
10.2435 8.88415
10.3945 9.07422
10.5455 9.26488
10.6965 9.45616
10.8475 9.64798
10.9985 9.84038
11.1495 10.0333
11.3005 10.2268
11.4515 10.4208
11.6025 10.6154
11.7535 10.8104
11.9045 11.0059
1.1835 -0.157186
1.3345 -0.0984484
12.0555 11.2019
12.2065 11.3984
12.3575 11.5954
12.5085 11.7928
12.6595 11.9906
12.8105 12.1889
12.9615 12.3876
13.1125 12.5867
13.2635 12.7863
13.4145 12.9862
13.5655 13.1865
13.7165 13.3873
13.8675 13.5883
14.0185 13.7898
14.1695 13.9916
14.3205 14.1938
14.4715 14.3963
14.6225 14.5992
14.7735 14.8024
14.9245 15.006
