RECO_WH_LEP_PTV_75_150_Tag1 chi2 
0.0515 4.02976
-0.0495 4.46179
1.0615 1.06233
0.9605 1.26603
1.2635 0.705776
1.1625 0.875838
1.4655 0.412123
1.3645 0.551425
1.6675 0.176077
1.5665 0.287202
1.8695 -0.00699924
1.7685 0.0781816
0.2535 3.25025
0.1525 3.62648
2.0715 -0.141225
1.9705 -0.0799864
2.2735 -0.23031
2.1725 -0.191214
2.4755 -0.277546
2.3745 -0.258978
2.5765 -0.286391
2.6775 -0.285848
2.7785 -0.276278
2.8795 -0.257917
2.9805 -0.231002
3.0815 -0.195998
3.1825 -0.152962
3.2835 -0.102346
3.3845 -0.0443088
3.4855 0.020935
3.5865 0.0929993
3.6875 0.172
3.7885 0.257571
3.8895 0.349527
0.4555 2.57339
0.3545 2.89969
3.9905 0.447684
4.0915 0.551865
4.1925 0.661901
4.2935 0.777634
4.3945 0.898907
4.4955 1.02555
4.5965 1.15746
4.6975 1.29449
4.7985 1.43418
4.8995 1.57139
5.0005 1.71332
5.1015 1.86016
5.2025 2.01168
5.3035 2.16778
5.4045 2.32834
5.5055 2.49326
5.6065 2.66244
5.7075 2.83577
5.8085 3.01315
5.9095 3.19451
0.6575 1.98884
0.5565 2.27011
6.0105 3.37973
6.1115 3.56873
6.2125 3.76144
6.3135 3.95777
6.4145 4.15764
6.5155 4.36095
6.6165 4.56768
6.7175 4.77773
6.8185 4.99102
6.9195 5.20752
7.0205 5.42697
7.1215 5.64925
7.2225 5.8745
7.3235 6.10276
7.4245 6.33386
7.5255 6.56779
7.6265 6.8045
7.7275 7.04392
7.8285 7.286
7.9295 7.53071
0.8595 1.48775
0.7585 1.72838
8.0305 7.77798
8.1315 8.02777
8.2325 8.28004
8.3335 8.53474
8.4345 8.79182
8.5355 9.05125
8.6365 9.31298
8.7375 9.57697
8.8385 9.84318
8.9395 10.1116
9.0405 10.3821
9.1415 10.6548
9.2425 10.9295
9.3435 11.2063
9.4445 11.4851
9.5455 11.7658
9.6465 12.0485
9.7475 12.3331
9.8485 12.6196
9.9495 12.9079
