RECO_1J_PTH_60_120_Tag2 chi2 
0.1265 10.6656
-0.0245 12.785
1.6365 -0.21525
1.4855 0.0419993
1.7875 -0.286034
1.9385 -0.172713
2.0895 0.122771
2.2405 0.592701
2.3915 1.22897
2.5425 2.04596
2.6935 3.03353
2.8445 4.18939
0.4285 6.99009
0.2775 8.73365
2.9955 5.33968
3.1465 6.61129
3.2975 8.03461
3.4485 9.60919
3.5995 11.3323
3.7505 13.1993
3.9015 15.2107
4.0525 17.3606
4.2035 19.6494
0.7305 4.06629
0.5795 5.43416
1.0325 1.89465
0.8815 2.88735
1.3345 0.486503
1.1835 1.08921
